,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
64,alien i think come somewhere else,0.161250,0.183750,0.302500,0.160000,0.211250,Fear
65,designed tactile make computeraided accessible,0.2,0.2,0.2,0.2,0.2,Neutral
66,cant interesting usually leads somewhere,1.590000,0.710000,0.745000,0.695000,0.650000,Happiness
67,spite new,0.2,0.2,0.2,0.2,0.2,Neutral
68,alien i think come somewhere else,0.080625,0.091875,0.151250,0.080000,0.105625,Fear
69,taken circa london photographer collected thomas,0.2,0.2,0.2,0.2,0.2,Neutral
70,happy felt,1.170000,0.270000,0.277500,0.292500,0.275000,Happiness
71,become much broadly used instead narrow,0.2,0.2,0.2,0.2,0.2,Neutral
72,ago explored imagined possible wed,0.2,0.2,0.2,0.2,0.2,Neutral
73,anderson acquired major art totem lesson,1.715000,0.870000,0.785000,0.940000,0.820000,Happiness
74,designed tactile make computeraided accessible,0.2,0.2,0.2,0.2,0.2,Neutral
75,talked,0.2,0.2,0.2,0.2,0.2,Neutral
76,alien i think come somewhere else,0.040313,0.045937,0.075625,0.040000,0.052812,Fear
77,past california experienced largest,0.2,0.2,0.2,0.2,0.2,Neutral
78,preventive developed greatly reduce,0.2,0.2,0.2,0.2,0.2,Neutral
79,educational make feel valued critically engaged effective comparatively af,2.165000,0.640000,1.110000,0.655000,0.595000,Happiness
80,learned vaccinate natural,1.251250,0.557500,0.577500,0.542500,0.473750,Happiness
81,sometimes important historian says,0.2,0.2,0.2,0.2,0.2,Neutral
82,successful,2.140000,0.570000,0.815000,0.610000,0.550000,Happiness
83,sometimes important historian says,0.2,0.2,0.2,0.2,0.2,Neutral
84,current efficient reducing,0.2,0.2,0.2,0.2,0.2,Neutral
85,evening,0.2,0.2,0.2,0.2,0.2,Neutral
86,last saturday streamed slacs sciencepacked,0.2,0.2,0.2,0.2,0.2,Neutral
87,targeted challenges radically reconsider,0.2,0.2,0.2,0.2,0.2,Neutral
88,marked ribboncutting celebrating new,0.2,0.2,0.2,0.2,0.2,Neutral
89,question learn,0.441250,0.212500,0.207500,0.190000,0.138750,Happiness
90,welcome,0.2,0.2,0.2,0.2,0.2,Neutral
91,roble,0.2,0.2,0.2,0.2,0.2,Neutral
92,solved biggest challenges creating artificial digital,0.2,0.2,0.2,0.2,0.2,Neutral
93,single important turns went away good,1.105000,0.292500,0.302500,0.285000,0.282500,Happiness
94,single important st,0.2,0.2,0.2,0.2,0.2,Neutral
95,learned vaccinate natural,0.515313,0.225625,0.236875,0.223750,0.202188,Happiness
96,new general climate,0.2,0.2,0.2,0.2,0.2,Neutral
97,threatening scoring standard,0.2,0.2,0.2,0.2,0.2,Neutral
98,educational make feel valued critically engaged effective comparatively af,1.082500,0.320000,0.555000,0.327500,0.297500,Happiness
99,now open annual,0.2,0.2,0.2,0.2,0.2,Neutral
100,catching early treatable new international,0.2,0.2,0.2,0.2,0.2,Neutral
101,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
102,ever analyzed writes cutting allows,0.555000,1.405000,1.525000,1.275000,1.235000,Fear
103,even young know deciding important,0.232500,0.105625,0.116875,0.110000,0.082500,Happiness
104,wouldnt going wasnt i met coaching,0.2,0.2,0.2,0.2,0.2,Neutral
105,scooping refilling expansive discover,0.2,0.2,0.2,0.2,0.2,Neutral
106,america double faith i think coming,0.2,0.2,0.2,0.2,0.2,Neutral
107,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
108,late last stanford traveled help,1.930000,0.610000,0.915000,0.645000,0.565000,Happiness
109,laid,0.2,0.2,0.2,0.2,0.2,Neutral
110,prior suggested achievement discipline coin new,1.657500,0.565000,0.607500,0.570000,0.565000,Happiness
111,ago damaged led,0.2,0.2,0.2,0.2,0.2,Neutral
112,single important st,0.2,0.2,0.2,0.2,0.2,Neutral
113,feature clear prominent lembke,0.2,0.2,0.2,0.2,0.2,Neutral
114,hope shocked impacted says,2.035000,0.550000,0.660000,0.675000,0.550000,Happiness
115,experimenting writing putting just,0.2,0.2,0.2,0.2,0.2,Neutral
116,yes good bad end wi,0.552500,0.146250,0.151250,0.142500,0.141250,Happiness
117,caused look past lynn says,0.2,0.2,0.2,0.2,0.2,Neutral
118,ever analyzed writes cutting allows,0.277500,0.702500,0.762500,0.637500,0.617500,Fear
119,even young know deciding important,0.116250,0.052812,0.058438,0.055000,0.041250,Happiness
120,bring neuroscience earth decided,1.810000,0.850000,0.965000,0.985000,0.845000,Happiness
121,says i got take,0.2,0.2,0.2,0.2,0.2,Neutral
122,giving increased sleep biggest think,2.145000,0.610000,0.655000,0.745000,0.590000,Happiness
123,using app conducted first entirely digital,0.2,0.2,0.2,0.2,0.2,Neutral
124,bryan brown old tired send resounding,0.2,0.2,0.2,0.2,0.2,Neutral
125,new come produces better quickly whe,0.2,0.2,0.2,0.2,0.2,Neutral
126,ever analyzed writes cutting allows,0.138750,0.351250,0.381250,0.318750,0.308750,Fear
127,even young know deciding important knowing,0.058125,0.026406,0.029219,0.027500,0.020625,Happiness
128,single important st,0.2,0.2,0.2,0.2,0.2,Neutral
129,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
130,taken important coolrunning implantable work,0.2,0.2,0.2,0.2,0.2,Neutral
131,cognitive behavioral early succeeded getting,0.2,0.2,0.2,0.2,0.2,Neutral
132,randomized opted often l,0.2,0.2,0.2,0.2,0.2,Neutral
133,lot different human behavior think qu,0.2,0.2,0.2,0.2,0.2,Neutral
134,single important st,0.2,0.2,0.2,0.2,0.2,Neutral
135,gay lomita commemorates stonewall,0.2,0.2,0.2,0.2,0.2,Neutral
136,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
137,need nature provide declining new modeling,1.775000,0.605000,0.710000,0.670000,0.715000,Happiness
138,using modeling infectious analyzing,0.2,0.2,0.2,0.2,0.2,Neutral
139,yes good bad end wi,0.276250,0.073125,0.075625,0.071250,0.070625,Happiness
140,natural arent made says,0.405000,0.172500,0.185000,0.176250,0.167500,Happiness
141,ever analyzed writes cutting allows,0.069375,0.175625,0.190625,0.159375,0.154375,Fear
142,single important st,0.2,0.2,0.2,0.2,0.2,Neutral
143,preventive developed greatly reduce,0.2,0.2,0.2,0.2,0.2,Neutral
144,margootjeg done,0.2,0.2,0.2,0.2,0.2,Neutral
145,parker studying regulate,0.2,0.2,0.2,0.2,0.2,Neutral
146,got long go responsible ly,0.2,0.2,0.2,0.2,0.2,Neutral
147,senior start,0.2,0.2,0.2,0.2,0.2,Neutral
148,is dangerous high peak many misinterpreting,0.630000,1.160000,2.045000,1.195000,0.820000,Fear
149,created accurately infer poverty,0.515000,1.335000,1.470000,1.940000,1.205000,Sadness
150,new made last many featuring,0.2,0.2,0.2,0.2,0.2,Neutral
151,physicians found better associated reduced,0.2,0.2,0.2,0.2,0.2,Neutral
152,shows yearold uber makes less,0.2,0.2,0.2,0.2,0.2,Neutral
153,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
154,uglier dad,0.2,0.2,0.2,0.2,0.2,Neutral
155,madison haley led dominant last,0.2,0.2,0.2,0.2,0.2,Neutral
156,very different think dolphins evolved echolocate independently acqui,0.2,0.2,0.2,0.2,0.2,Neutral
157,developed see beneath buried,0.2,0.2,0.2,0.2,0.2,Neutral
158,immersive dance living,0.2,0.2,0.2,0.2,0.2,Neutral
159,actually motivates healthy eating,1.875000,0.840000,0.855000,0.875000,0.860000,Happiness
160,early levitt woke,0.2,0.2,0.2,0.2,0.2,Neutral
161,fishkinand sophomore got major new,0.2,0.2,0.2,0.2,0.2,Neutral
162,peter graham savas argued smaller less expensive sensitive,0.2,0.2,0.2,0.2,0.2,Neutral
163,found potential diagnostic,0.2,0.2,0.2,0.2,0.2,Neutral
164,new stanfordled turmeric commonly used south asia sometimes adulter,1.275000,0.705000,1.070000,0.795000,0.590000,Happiness
165,componentscognitive behavioral early bright,1.895000,0.620000,0.570000,0.565000,0.550000,Happiness
166,old,0.2,0.2,0.2,0.2,0.2,Neutral
167,awarded highrisk make,0.2,0.2,0.2,0.2,0.2,Neutral
168,visiting lucibela,0.2,0.2,0.2,0.2,0.2,Neutral
169,preventive developed greatly reduce,0.2,0.2,0.2,0.2,0.2,Neutral
170,welcomed new stanford heres look coming,0.2,0.2,0.2,0.2,0.2,Neutral
171,led dynamic offensive picked big,0.2,0.2,0.2,0.2,0.2,Neutral
172,targeted extend lifespan need chemotherapy common,0.2,0.2,0.2,0.2,0.2,Neutral
173,arent struggling really learning says,0.110312,0.053125,0.051875,0.047500,0.034688,Happiness
174,too many overloaded underprepared says so healthy,0.2,0.2,0.2,0.2,0.2,Neutral
175,find potential diagnostic,0.2,0.2,0.2,0.2,0.2,Neutral
176,archive publicly available engrossing interactive,0.2,0.2,0.2,0.2,0.2,Neutral
177,greater improved,0.2,0.2,0.2,0.2,0.2,Neutral
178,surviving worst roberts become prominent,0.2,0.2,0.2,0.2,0.2,Neutral
179,predicts tripling stormrelated protective coral,0.2,0.2,0.2,0.2,0.2,Neutral
180,go able weigh,0.2,0.2,0.2,0.2,0.2,Neutral
181,inspired explain mysterious,2.025000,0.590000,0.620000,0.590000,0.545000,Happiness
182,arctic rapidly noah says immediate e,0.2,0.2,0.2,0.2,0.2,Neutral
183,new stanfordled turmeric commonly used south asia sometimes adulter,0.637500,0.352500,0.535000,0.397500,0.295000,Happiness
184,needs pdf denise says,0.2,0.2,0.2,0.2,0.2,Neutral
185,question learn general,0.055156,0.026562,0.025937,0.023750,0.017344,Happiness
186,rush enforcers new public square daphne,0.790000,0.715000,0.655000,0.695000,0.670000,Happiness
187,first fall educational,1.320000,0.755000,0.855000,0.750000,0.625000,Happiness
188,mild participate contact barrier,0.2,0.2,0.2,0.2,0.2,Neutral
189,researchbased stanforded looking,0.2,0.2,0.2,0.2,0.2,Neutral
190,said quantum trick conceived influential,0.2,0.2,0.2,0.2,0.2,Neutral
191,identified oddball spread several neurodegenerative,0.2,0.2,0.2,0.2,0.2,Neutral
192,take nondescript turns,0.2,0.2,0.2,0.2,0.2,Neutral
193,look good present put take,1.081562,0.333281,0.358906,0.355313,0.297656,Happiness
194,deliberative assembled,0.2,0.2,0.2,0.2,0.2,Neutral
195,tie,0.2,0.2,0.2,0.2,0.2,Neutral
196,there real right forgotten daphne,0.2,0.2,0.2,0.2,0.2,Neutral
197,racial leads growing achievement entirely,1.097500,0.265000,0.327500,0.285000,0.265000,Happiness
198,rt cant,0.2,0.2,0.2,0.2,0.2,Neutral
199,opened public ago,0.2,0.2,0.2,0.2,0.2,Neutral
200,expanding remain optimistic,0.2,0.2,0.2,0.2,0.2,Neutral
201,experiment found likely bet incre,0.2,0.2,0.2,0.2,0.2,Neutral
202,open compelling,0.2,0.2,0.2,0.2,0.2,Neutral
203,jared gilbey national fir,0.2,0.2,0.2,0.2,0.2,Neutral
204,analyzed last considered,0.2,0.2,0.2,0.2,0.2,Neutral
205,soon new universitys,0.2,0.2,0.2,0.2,0.2,Neutral
206,senior paisley told incoming th opening,0.2,0.2,0.2,0.2,0.2,Neutral
207,welcome more photos,0.2,0.2,0.2,0.2,0.2,Neutral
208,opens includes,0.2,0.2,0.2,0.2,0.2,Neutral
209,disabling single apparently noncritical foil cause,0.2,0.2,0.2,0.2,0.2,Neutral
210,new new cures critical,0.2,0.2,0.2,0.2,0.2,Neutral
211,celebrating commitment,0.2,0.2,0.2,0.2,0.2,Neutral
212,harnessing dark uclas,0.905000,0.820000,1.535000,1.085000,0.630000,Fear
213,acquired lewitts drawing essentially design mathematical,0.2,0.2,0.2,0.2,0.2,Neutral
214,working ami studying human,0.2,0.2,0.2,0.2,0.2,Neutral
215,intern using digital,0.2,0.2,0.2,0.2,0.2,Neutral
216,fauville postdoctoral working understand virtual used,0.2,0.2,0.2,0.2,0.2,Neutral
217,harnessing dark uclas,0.452500,0.410000,0.767500,0.542500,0.315000,Fear
218,billed privately insured received inpatient,0.2,0.2,0.2,0.2,0.2,Neutral
219,americas need writes,0.2,0.2,0.2,0.2,0.2,Neutral
220,phd earned want,0.2,0.2,0.2,0.2,0.2,Neutral
221,gig independent crucial growing,0.2,0.2,0.2,0.2,0.2,Neutral
222,southeast asian peatlands huge deadly smoke new,0.2,0.2,0.2,0.2,0.2,Neutral
223,new healthy suggests reduce,0.2,0.2,0.2,0.2,0.2,Neutral
224,organized produced promising detecting,0.2,0.2,0.2,0.2,0.2,Neutral
225,phd earned,0.2,0.2,0.2,0.2,0.2,Neutral
226,earliest,0.2,0.2,0.2,0.2,0.2,Neutral
227,stanford find develop,0.2,0.2,0.2,0.2,0.2,Neutral
228,done little parasitic senegal,0.2,0.2,0.2,0.2,0.2,Neutral
229,argues coal mine modern set,0.2,0.2,0.2,0.2,0.2,Neutral
230,i see laura,0.2,0.2,0.2,0.2,0.2,Neutral
231,editing algorithm gives ordinary rhythm new allows adjust,0.2,0.2,0.2,0.2,0.2,Neutral
232,newly digitized doubled far back peer underground,0.2,0.2,0.2,0.2,0.2,Neutral
233,still,0.2,0.2,0.2,0.2,0.2,Neutral
234,final northwestern,0.2,0.2,0.2,0.2,0.2,Neutral
235,returns opens,0.2,0.2,0.2,0.2,0.2,Neutral
236,exposed common agricultural birth distinctive,0.2,0.2,0.2,0.2,0.2,Neutral
237,intellectual achieve high,0.2,0.2,0.2,0.2,0.2,Neutral
238,says meet,0.2,0.2,0.2,0.2,0.2,Neutral
239,visiting scholar help study neural,1.775000,0.655000,0.640000,0.635000,0.545000,Happiness
240,sharp americans serious respectful acr,1.380000,0.770000,0.857500,0.747500,0.602500,Happiness
241,canadian formed ago reveal previously unknown even greater,0.2,0.2,0.2,0.2,0.2,Neutral
242,keeping busy supervised know need healthy,0.2,0.2,0.2,0.2,0.2,Neutral
243,big struggling soggy first returned,0.2,0.2,0.2,0.2,0.2,Neutral
244,path future go first helps indicate,0.2,0.2,0.2,0.2,0.2,Neutral
245,new anne,0.2,0.2,0.2,0.2,0.2,Neutral
246,new using provided rare,0.2,0.2,0.2,0.2,0.2,Neutral
247,new make lightweight safe long lasting,1.030000,0.255000,0.340000,0.272500,0.257500,Happiness
248,protect host negative denise says,0.2,0.2,0.2,0.2,0.2,Neutral
249,great current work,0.2,0.2,0.2,0.2,0.2,Neutral
250,incorporating traditional current help revitalize american indian,0.2,0.2,0.2,0.2,0.2,Neutral
251,stanford always looked grew,0.2,0.2,0.2,0.2,0.2,Neutral
252,invited clean smart adapt,0.2,0.2,0.2,0.2,0.2,Neutral
253,low yet states live,0.2,0.2,0.2,0.2,0.2,Neutral
254,atomically thin developed create cell th,1.145000,0.850000,0.840000,0.805000,0.645000,Happiness
255,explains breathtakingly immoral empathy says,0.605000,1.345000,1.015000,1.175000,1.215000,Anger
256,heterosexual likely meet romantic online personal conne,2.529500,1.072000,1.224000,1.166500,0.981500,Happiness
257,global grows growing appetites,0.2,0.2,0.2,0.2,0.2,Neutral
258,invited clean smart adapt,0.2,0.2,0.2,0.2,0.2,Neutral
259,low yet states live,0.2,0.2,0.2,0.2,0.2,Neutral
260,were want find spiritual also,0.2,0.2,0.2,0.2,0.2,Neutral
261,having home even small offers significant maya,2.050000,0.710000,0.660000,0.865000,0.610000,Happiness
262,important know young lives,0.029063,0.013203,0.014609,0.013750,0.010313,Happiness
263,atomically thin developed create cell th,0.572500,0.425000,0.420000,0.402500,0.322500,Happiness
264,most internal live really get,0.2,0.2,0.2,0.2,0.2,Neutral
265,positive math achievement stanford,0.548750,0.132500,0.163750,0.142500,0.132500,Happiness
266,developed experimental pick physiological emanating,0.2,0.2,0.2,0.2,0.2,Neutral
267,makes good even unlikely pu,0.069062,0.018281,0.018906,0.017812,0.017656,Happiness
268,human gut churning small theyve gone unnoticed,0.2,0.2,0.2,0.2,0.2,Neutral
269,keeping fossil best warming says,0.2,0.2,0.2,0.2,0.2,Neutral
270,high took minute online cultivate,0.2,0.2,0.2,0.2,0.2,Neutral
271,atomically thin developed create cell th,0.286250,0.212500,0.210000,0.201250,0.161250,Happiness
272,identified important interesting,0.795000,0.355000,0.372500,0.347500,0.325000,Happiness
273,back opens regular,0.2,0.2,0.2,0.2,0.2,Neutral
274,developed experimental pick physiological emanating,0.2,0.2,0.2,0.2,0.2,Neutral
275,positive math achievement stanford,0.274375,0.066250,0.081875,0.071250,0.066250,Happiness
276,affects even,0.2,0.2,0.2,0.2,0.2,Neutral
277,first learned live,0.027578,0.013281,0.012969,0.011875,0.008672,Happiness
278,most internal live really get,0.2,0.2,0.2,0.2,0.2,Neutral
279,adjusted average didnt go lower ag,0.2,0.2,0.2,0.2,0.2,Neutral
280,only working say theyre saving enough wanted,1.765000,0.615000,0.740000,0.665000,0.515000,Happiness
281,says really throw,0.2,0.2,0.2,0.2,0.2,Neutral
282,keeping fossil best warming says,0.2,0.2,0.2,0.2,0.2,Neutral
283,fischbach new initiative wants build,0.2,0.2,0.2,0.2,0.2,Neutral
284,launching major new microbes inhabiting known,0.2,0.2,0.2,0.2,0.2,Neutral
285,new local independent helping better understand different,0.2,0.2,0.2,0.2,0.2,Neutral
286,tapping help understand,0.2,0.2,0.2,0.2,0.2,Neutral
287,learn even,0.013789,0.006641,0.006484,0.005938,0.004336,Happiness
288,new independent helping better,0.2,0.2,0.2,0.2,0.2,Neutral
289,aisha khan bright award combats climate promoting economic,0.947500,0.310000,0.285000,0.282500,0.275000,Happiness
290,creating microscopic hold light,0.2,0.2,0.2,0.2,0.2,Neutral
291,high took minute online cultivate,0.2,0.2,0.2,0.2,0.2,Neutral
292,fantasy often seen low enlighten distract med,2.035000,0.595000,0.625000,0.655000,0.610000,Happiness
293,makes good even unlikely p,0.034531,0.009141,0.009453,0.008906,0.008828,Happiness
294,visiting theoretical corecipient,0.2,0.2,0.2,0.2,0.2,Neutral
295,new finds perceive proenvironment marketing less,1.065000,0.720000,0.740000,0.695000,0.695000,Happiness
296,noisy artificial make feel anxious distracted undermining,0.872500,1.172500,1.015000,0.797500,0.687500,Anger
297,linguistic made codeswitching,0.2,0.2,0.2,0.2,0.2,Neutral
298,think really convinced wanted go come,0.2,0.2,0.2,0.2,0.2,Neutral
299,dynamically sight merely play prerecorded timed,1.035000,0.890000,1.080000,0.975000,0.660000,Fear
300,thinking finding paths just move spatial,0.2,0.2,0.2,0.2,0.2,Neutral
301,nprs explains empathy strengthened,0.2,0.2,0.2,0.2,0.2,Neutral
302,new made affordable durable generates salt fresh,0.2,0.2,0.2,0.2,0.2,Neutral
303,new found new likely find,0.2,0.2,0.2,0.2,0.2,Neutral
304,painting art universal,1.041250,0.562500,0.501250,0.550000,0.507500,Happiness
305,created much faster seamlessly sync sound,0.2,0.2,0.2,0.2,0.2,Neutral
306,dont strong wellprepared else pro,1.760000,0.790000,0.825000,0.605000,0.585000,Happiness
307,generative important memorable,0.2,0.2,0.2,0.2,0.2,Neutral
308,likely jaywalk know spell,0.2,0.2,0.2,0.2,0.2,Neutral
309,known protect using tell immune,0.2,0.2,0.2,0.2,0.2,Neutral
310,nprs explains empathy strengthened,0.2,0.2,0.2,0.2,0.2,Neutral
311,came local invited,0.2,0.2,0.2,0.2,0.2,Neutral
312,switzerland new likely find assigned,0.2,0.2,0.2,0.2,0.2,Neutral
313,created ocean massive renewable,2.070000,0.615000,1.085000,0.665000,0.600000,Happiness
314,annual learning showed,0.006895,0.003320,0.003242,0.002969,0.002168,Happiness
315,developed stanford electrical analyze single light detect moving,0.2,0.2,0.2,0.2,0.2,Neutral
316,developed quantum sensitive individual,0.2,0.2,0.2,0.2,0.2,Neutral
317,fong weekends producing popular c,0.2,0.2,0.2,0.2,0.2,Neutral
318,getting little relief conventional injectable,0.2,0.2,0.2,0.2,0.2,Neutral
319,created helping landscape ant,0.2,0.2,0.2,0.2,0.2,Neutral
320,basic requires keep bigger adam nekimken says try,0.2,0.2,0.2,0.2,0.2,Neutral
321,noel vest hasnt keep recen,0.830000,0.605000,0.605000,0.580000,0.600000,Happiness
322,always earnedit,0.2,0.2,0.2,0.2,0.2,Neutral
323,oneweek intensive takes,0.2,0.2,0.2,0.2,0.2,Neutral
324,even still learned postdoctoral says,0.003447,0.001660,0.001621,0.001484,0.001084,Happiness
325,oneweek intensive takes,0.2,0.2,0.2,0.2,0.2,Neutral
326,intertwined lab uncertain,0.2,0.2,0.2,0.2,0.2,Neutral
327,freshman neushuls fourth secured,0.2,0.2,0.2,0.2,0.2,Neutral
328,perfect warming reduced lucrative jumbo,0.2,0.2,0.2,0.2,0.2,Neutral
329,residential dining stanford ben nathan,0.2,0.2,0.2,0.2,0.2,Neutral
330,dethroned oklahoma final,0.2,0.2,0.2,0.2,0.2,Neutral
331,new confirms many already witnessed personal heterosexual increasing,1.291250,0.640000,0.575000,0.573750,0.553750,Happiness
332,started building now,0.835000,0.620000,0.700000,0.595000,0.625000,Happiness
333,sometimes scientific starts openended,0.2,0.2,0.2,0.2,0.2,Neutral
334,stanfordmed opened laboratory,0.2,0.2,0.2,0.2,0.2,Neutral
335,archive expanded include audio,0.2,0.2,0.2,0.2,0.2,Neutral
336,different combined allamerica helping,0.2,0.2,0.2,0.2,0.2,Neutral
337,hospitalacquired costing medicare new,0.2,0.2,0.2,0.2,0.2,Neutral
338,reliving championship wins there,1.092500,0.337500,0.337500,0.330000,0.292500,Happiness
339,dedicated finding safer effective wit,0.882500,0.360000,0.295000,0.292500,0.305000,Happiness
340,do really favor white male test sent,1.110000,0.467500,0.455000,0.442500,0.466250,Happiness
341,fifteen recommended,0.2,0.2,0.2,0.2,0.2,Neutral
342,manu known lowcost driven science latest started,0.2,0.2,0.2,0.2,0.2,Neutral
343,sometimes scientific starts openended,0.2,0.2,0.2,0.2,0.2,Neutral
344,caused long cooling carried last new trigger,0.2,0.2,0.2,0.2,0.2,Neutral
345,mike mussina become first former inducted national,0.2,0.2,0.2,0.2,0.2,Neutral
346,ecofriendly form genetic potential open,0.2,0.2,0.2,0.2,0.2,Neutral
347,fifteen recommended,0.2,0.2,0.2,0.2,0.2,Neutral
348,interdisciplinary developing app improve training military,1.980000,0.645000,0.735000,0.625000,0.530000,Happiness
349,incoming undergraduate reading,0.2,0.2,0.2,0.2,0.2,Neutral
350,ryan served associate lead eff,0.2,0.2,0.2,0.2,0.2,Neutral
351,designed algorithm many predictive,0.2,0.2,0.2,0.2,0.2,Neutral
352,incoming read coming,0.2,0.2,0.2,0.2,0.2,Neutral
353,scholars developing investigative newsrooms,0.887500,0.327500,0.320000,0.317500,0.272500,Happiness
354,shrink tried taking set li,0.2,0.2,0.2,0.2,0.2,Neutral
355,regent new developed make supercomputing accessible,0.2,0.2,0.2,0.2,0.2,Neutral
356,pointing slightly away oncoming called reduce improve,0.990000,0.322500,0.367500,0.312500,0.265000,Happiness
