,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
93,second lieutenant graduated currently working,0.2,0.2,0.2,0.2,0.2,Neutral
94,enhanced nuclear online inform,0.2,0.2,0.2,0.2,0.2,Neutral
95,honor read discovered forging,2.075000,0.650000,0.670000,0.670000,0.640000,Happiness
96,museum intersection explores,1.115000,0.650000,0.620000,0.680000,0.585000,Happiness
97,truly global says,0.2,0.2,0.2,0.2,0.2,Neutral
98,investigating think political doctoral,1.370000,0.875000,1.365000,0.880000,0.705000,Happiness
99,observe spooky tunneling extremely large electric umbrellashaped,0.2,0.2,0.2,0.2,0.2,Neutral
100,new make available remote mitdeveloped lead portable,0.2,0.2,0.2,0.2,0.2,Neutral
101,started lab wanted know understood tha,0.2,0.2,0.2,0.2,0.2,Neutral
102,instrumental getting america almost knew,0.2,0.2,0.2,0.2,0.2,Neutral
103,making solar made perovskite unique crystal,0.2,0.2,0.2,0.2,0.2,Neutral
104,developed allows robot,0.2,0.2,0.2,0.2,0.2,Neutral
105,mildred s cornell universitys,0.2,0.2,0.2,0.2,0.2,Neutral
106,new paranormal investigate interact,0.2,0.2,0.2,0.2,0.2,Neutral
107,suggest targeting certain offer new treat neurological,2.015000,0.545000,0.555000,0.555000,0.525000,Happiness
108,nasas finding poised find exciting,0.2,0.2,0.2,0.2,0.2,Neutral
109,comes first find tools managing getting better finding,0.790000,0.665000,0.675000,0.605000,0.615000,Happiness
110,mit bipartisan presents prescriptive,2.025000,0.630000,0.680000,0.675000,0.560000,Happiness
111,compared made interstellar found,0.2,0.2,0.2,0.2,0.2,Neutral
112,helps robots find front,0.2,0.2,0.2,0.2,0.2,Neutral
113,first go roughly onefifth undergraduate,0.2,0.2,0.2,0.2,0.2,Neutral
114,biological creates new advance biomedical,0.2,0.2,0.2,0.2,0.2,Neutral
115,disorder called venous common vascular,0.2,0.2,0.2,0.2,0.2,Neutral
116,spotted isampt,0.2,0.2,0.2,0.2,0.2,Neutral
117,allows get swept away virtual,0.2,0.2,0.2,0.2,0.2,Neutral
118,leiserson standup earlycareer better,0.2,0.2,0.2,0.2,0.2,Neutral
119,better autonomous reasoning tricky,0.2,0.2,0.2,0.2,0.2,Neutral
120,analyzes match dont,0.2,0.2,0.2,0.2,0.2,Neutral
121,found significantly speed planning required,0.2,0.2,0.2,0.2,0.2,Neutral
122,clean weekly shout,0.2,0.2,0.2,0.2,0.2,Neutral
123,new center nasa ames present relative,1.012500,0.315000,0.340000,0.337500,0.280000,Happiness
124,still jenny,0.2,0.2,0.2,0.2,0.2,Neutral
125,biofilms collaborating,0.2,0.2,0.2,0.2,0.2,Neutral
126,oped notes tricky,0.2,0.2,0.2,0.2,0.2,Neutral
127,artificial developed striking makes stick,0.2,0.2,0.2,0.2,0.2,Neutral
128,mechanical rojas sm completed whopping studying,0.2,0.2,0.2,0.2,0.2,Neutral
129,new enable assembly minute,0.2,0.2,0.2,0.2,0.2,Neutral
130,ending defeats wpi double ot final,0.2,0.2,0.2,0.2,0.2,Neutral
131,new imagebased genetic helps identify key,1.055000,0.665000,0.625000,0.610000,0.565000,Happiness
132,new degradable useful delivering imaging,1.775000,0.635000,0.570000,0.580000,0.560000,Happiness
133,missed second read,0.2,0.2,0.2,0.2,0.2,Neutral
134,contemplating dowd differently,0.2,0.2,0.2,0.2,0.2,Neutral
135,seeding,0.2,0.2,0.2,0.2,0.2,Neutral
136,introduced allow twolegged teleoperated,0.2,0.2,0.2,0.2,0.2,Neutral
137,provides cooling,0.2,0.2,0.2,0.2,0.2,Neutral
138,racing cross teaching coding rural senior billy woltz,0.2,0.2,0.2,0.2,0.2,Neutral
139,senior kristy leverage artificial,0.2,0.2,0.2,0.2,0.2,Neutral
140,sobering special show substantial,0.2,0.2,0.2,0.2,0.2,Neutral
141,artificial ethical empirical hypothetical ethical,0.2,0.2,0.2,0.2,0.2,Neutral
142,rand yoeli essay,0.2,0.2,0.2,0.2,0.2,Neutral
143,prevents speedy crashing unfamiliar,0.595000,1.410000,1.820000,1.690000,1.085000,Fear
144,inspired sticky use catch prey new doublesided rapidly seal,2.025000,0.590000,0.620000,0.590000,0.545000,Happiness
145,have spooktacular,0.2,0.2,0.2,0.2,0.2,Neutral
146,recent new learn discussing,0.220625,0.106250,0.103750,0.095000,0.069375,Happiness
147,twolegged human running,0.2,0.2,0.2,0.2,0.2,Neutral
148,sixth annual postdocs sharpen,0.2,0.2,0.2,0.2,0.2,Neutral
149,esther duflo financial often ineffective influencing,0.2,0.2,0.2,0.2,0.2,Neutral
150,first used massive huge detect small,0.2,0.2,0.2,0.2,0.2,Neutral
151,jump even identify,0.2,0.2,0.2,0.2,0.2,Neutral
152,kate saying cool,0.2,0.2,0.2,0.2,0.2,Neutral
153,developed jonathan faster model continuously logs,0.2,0.2,0.2,0.2,0.2,Neutral
154,calling mit social initiative partnering theidb,0.458750,0.153750,0.207500,0.162500,0.135000,Happiness
155,ago launched edx believe rigorous,0.2,0.2,0.2,0.2,0.2,Neutral
156,develop new remove,0.2,0.2,0.2,0.2,0.2,Neutral
157,give,0.2,0.2,0.2,0.2,0.2,Neutral
158,devised break readily,0.2,0.2,0.2,0.2,0.2,Neutral
159,warmest recently tenured nikhil agarwal aiyar,0.2,0.2,0.2,0.2,0.2,Neutral
160,techless mit i aspiring choosing famous tech,1.660000,0.650000,0.600000,0.605000,0.690000,Happiness
161,combining learn build,0.110312,0.053125,0.051875,0.047500,0.034688,Happiness
162,captured weinberg titled,0.2,0.2,0.2,0.2,0.2,Neutral
163,jpal first,0.2,0.2,0.2,0.2,0.2,Neutral
164,used taking earth now know,1.810000,0.850000,0.965000,0.985000,0.845000,Happiness
165,improve autonomous developed tiny,0.990000,0.322500,0.367500,0.312500,0.265000,Happiness
166,developed valuable lost video,0.670000,1.215000,1.735000,1.450000,0.830000,Fear
167,inspire young steam hong kong suzhou,1.892500,0.710000,0.752500,0.737500,0.607500,Happiness
168,using learning model artificial,0.055156,0.026562,0.025937,0.023750,0.017344,Happiness
169,new potential,0.2,0.2,0.2,0.2,0.2,Neutral
170,did know ranked mitswimdive coaching,0.2,0.2,0.2,0.2,0.2,Neutral
171,revamped includes new nuclear nuclear,0.2,0.2,0.2,0.2,0.2,Neutral
172,new suggest kickstarted big trace continuous,0.2,0.2,0.2,0.2,0.2,Neutral
173,help manage chronic,0.2,0.2,0.2,0.2,0.2,Neutral
174,win aps mit,2.185000,0.675000,0.675000,0.660000,0.585000,Happiness
175,showcased ranging well aerial,0.2,0.2,0.2,0.2,0.2,Neutral
176,revisiting ted social fig,0.229375,0.076875,0.103750,0.081250,0.067500,Happiness
177,known lifechanging scientific milk,1.190000,0.605000,0.575000,0.625000,0.795000,Happiness
178,indicate invade softer larger perip,0.2,0.2,0.2,0.2,0.2,Neutral
179,take largest,0.2,0.2,0.2,0.2,0.2,Neutral
180,developed generating,0.2,0.2,0.2,0.2,0.2,Neutral
181,tiny someday build airplanes,0.2,0.2,0.2,0.2,0.2,Neutral
182,led developed method build avoiding,0.785000,0.630000,0.645000,0.625000,0.610000,Happiness
183,whitehead sha,0.2,0.2,0.2,0.2,0.2,Neutral
184,newman discusses work developing new accommodate,0.2,0.2,0.2,0.2,0.2,Neutral
185,reverses,0.2,0.2,0.2,0.2,0.2,Neutral
186,smoke woodburning globally studen,0.2,0.2,0.2,0.2,0.2,Neutral
187,economic creating amp utilizing physical human financial social generate improved,0.114687,0.038437,0.051875,0.040625,0.033750,Happiness
188,prime editing new genomeediting created davidrliuliugroup key new,0.527500,0.332500,0.312500,0.305000,0.282500,Happiness
189,maps green raise proactive,1.565000,0.550000,0.535000,0.585000,0.570000,Happiness
190,effective designed successful designed,2.140000,0.570000,0.815000,0.610000,0.550000,Happiness
191,ethical indeed hard increasingly raise writes,0.825000,1.110000,1.105000,0.875000,0.700000,Anger
192,north named susan th,0.317500,0.186250,0.165000,0.173750,0.157500,Happiness
193,celena crew is top were,0.2,0.2,0.2,0.2,0.2,Neutral
194,addresses mounting converting,0.2,0.2,0.2,0.2,0.2,Neutral
195,spent mit,0.2,0.2,0.2,0.2,0.2,Neutral
196,elected sangeeta young recognized,0.930000,0.422500,0.467500,0.440000,0.330000,Happiness
197,happy fresh amazing,1.170000,0.270000,0.277500,0.292500,0.275000,Happiness
198,focused improving particularly lowwage,0.2,0.2,0.2,0.2,0.2,Neutral
199,mit heavyweight lightweight medaling,0.2,0.2,0.2,0.2,0.2,Neutral
200,giving faster grasp planning use adjust,0.2,0.2,0.2,0.2,0.2,Neutral
201,seeks develop fill crucial,0.2,0.2,0.2,0.2,0.2,Neutral
202,leonardo da worlds longest,1.465000,0.800000,0.880000,0.915000,0.770000,Happiness
203,marking engineerss th anniversary served evening,0.2,0.2,0.2,0.2,0.2,Neutral
204,grant allow traditional marketbased,0.2,0.2,0.2,0.2,0.2,Neutral
205,featured fall created,1.320000,0.755000,0.855000,0.750000,0.625000,Happiness
206,team madmec first well,0.2,0.2,0.2,0.2,0.2,Neutral
207,imaging combined genetic enhances genomic,0.2,0.2,0.2,0.2,0.2,Neutral
208,senior leverage artificial computational develop new,0.2,0.2,0.2,0.2,0.2,Neutral
209,strong great,1.760000,0.790000,0.825000,0.605000,0.585000,Happiness
210,recently returned global,0.2,0.2,0.2,0.2,0.2,Neutral
211,earned top cwpawaterpolo eastern,0.2,0.2,0.2,0.2,0.2,Neutral
212,found anywhere web sure relevant,0.2,0.2,0.2,0.2,0.2,Neutral
213,amp careful wind predicted,0.2,0.2,0.2,0.2,0.2,Neutral
214,says,0.2,0.2,0.2,0.2,0.2,Neutral
215,medical previous oneday flu clinic least,0.2,0.2,0.2,0.2,0.2,Neutral
216,electroadhesive puts microscopic,0.2,0.2,0.2,0.2,0.2,Neutral
217,packaged novel offer new infectious,0.2,0.2,0.2,0.2,0.2,Neutral
218,ended fall ball,0.660000,0.377500,0.427500,0.375000,0.312500,Happiness
219,bringing pk mit inspire young steam,0.713750,0.249375,0.259375,0.258750,0.221250,Happiness
220,regenerating called give lab,0.2,0.2,0.2,0.2,0.2,Neutral
221,new east developed,0.2,0.2,0.2,0.2,0.2,Neutral
222,recovering lost video recreate motionblurred corner,0.500000,0.648750,0.833750,0.765000,0.510000,Fear
223,make large little,0.2,0.2,0.2,0.2,0.2,Neutral
224,individual rapid imaging help reveal,0.2,0.2,0.2,0.2,0.2,Neutral
225,building wright wind officially completed,0.835000,0.620000,0.700000,0.595000,0.625000,Happiness
226,hive new bring together,0.2,0.2,0.2,0.2,0.2,Neutral
227,seen many confuse taking calling giving much,0.2,0.2,0.2,0.2,0.2,Neutral
228,use giant magnifying lens new technique tiny dwarf,0.2,0.2,0.2,0.2,0.2,Neutral
229,talking mabu provides onetoone relaying,0.2,0.2,0.2,0.2,0.2,Neutral
230,esther duflo mits,0.2,0.2,0.2,0.2,0.2,Neutral
231,rousing newest laureates esther duflo,0.2,0.2,0.2,0.2,0.2,Neutral
232,live honoring esther duflo banerjee,1.037500,0.325000,0.335000,0.335000,0.320000,Happiness
233,esther duflo receive big,0.2,0.2,0.2,0.2,0.2,Neutral
234,join pm edt live honoring nobel prize mit esther dufl,0.518750,0.162500,0.167500,0.167500,0.160000,Happiness
235,esther duflo michael kremer,0.2,0.2,0.2,0.2,0.2,Neutral
236,economic laureate esther duflo born second youngest awarded,0.2,0.2,0.2,0.2,0.2,Neutral
237,abhijit esther experimental,0.2,0.2,0.2,0.2,0.2,Neutral
238,deploying prepare climate bayomi investigate,0.2,0.2,0.2,0.2,0.2,Neutral
239,helps smart find connected even noisy,0.695000,1.485000,0.705000,0.695000,0.725000,Anger
240,starliner first later dopart,0.2,0.2,0.2,0.2,0.2,Neutral
241,variety potential now rafael gomezbombarelli,0.2,0.2,0.2,0.2,0.2,Neutral
242,have great holiday,2.335000,0.590000,0.600000,0.725000,0.545000,Happiness
243,develop sustainable open,0.2,0.2,0.2,0.2,0.2,Neutral
244,middle high compete th annual,0.2,0.2,0.2,0.2,0.2,Neutral
245,fuzzy looked simulate early,0.2,0.2,0.2,0.2,0.2,Neutral
246,put leonardo proposed worlds longest,0.732500,0.400000,0.440000,0.457500,0.385000,Happiness
247,yamile touissant awarded educational abie award learn,0.027578,0.013281,0.012969,0.011875,0.008672,Happiness
248,help better analyze placenta potential,0.2,0.2,0.2,0.2,0.2,Neutral
249,dear are feeling anxious sadneed were listen ho,1.050000,0.860000,1.325000,0.900000,0.650000,Fear
250,nearly ago priyanka founded converts plastic,0.2,0.2,0.2,0.2,0.2,Neutral
251,better sleep lead better data underscore getting,2.145000,0.610000,0.655000,0.745000,0.590000,Happiness
252,last friday taking processes participated annual,0.2,0.2,0.2,0.2,0.2,Neutral
253,new eboyden described allows visualize,0.2,0.2,0.2,0.2,0.2,Neutral
254,new coated microneedles small potentially painle,0.2,0.2,0.2,0.2,0.2,Neutral
255,so real bitcoin cory recently shared,0.2,0.2,0.2,0.2,0.2,Neutral
256,happy celebrate nanoscale nanometer,0.585000,0.135000,0.138750,0.146250,0.137500,Happiness
257,led graduate testart uses learning,1.066895,0.285820,0.545742,0.452969,0.279668,Happiness
258,did know goodenough researcher prior,0.2,0.2,0.2,0.2,0.2,Neutral
259,coauthored associate finds repeated plausible implausible,0.2,0.2,0.2,0.2,0.2,Neutral
260,mits largest undergraduate served,0.2,0.2,0.2,0.2,0.2,Neutral
261,happy celebrate stem,0.292500,0.067500,0.069375,0.073125,0.068750,Happiness
262,likely universe physicists cold depending,0.294000,0.442000,0.376000,0.446000,0.296000,Sadness
263,didier queloz visiting winning,1.092500,0.337500,0.337500,0.330000,0.292500,Happiness
264,using understand mental processes new,0.2,0.2,0.2,0.2,0.2,Neutral
265,heres look past,0.2,0.2,0.2,0.2,0.2,Neutral
266,honored committed,0.259375,0.081250,0.083750,0.083750,0.080000,Happiness
267,chemistrymit elsewhere created ultrathin coating protect,0.2,0.2,0.2,0.2,0.2,Neutral
268,get weird depending handled,0.2,0.2,0.2,0.2,0.2,Neutral
269,photovoltaicpowered internet rfidbased work indoor outdoor lighting,0.2,0.2,0.2,0.2,0.2,Neutral
270,flat human changes new structural lead,0.2,0.2,0.2,0.2,0.2,Neutral
271,preserving using improve,0.495000,0.161250,0.183750,0.156250,0.132500,Happiness
272,studentrun african bolsters vibrant growing,0.2,0.2,0.2,0.2,0.2,Neutral
273,is ever mars developing,0.2,0.2,0.2,0.2,0.2,Neutral
274,preserving fragile saves taxpayer brings,1.765000,0.615000,0.740000,0.665000,0.515000,Happiness
275,famed planck idiosyncratic spurred scientific,1.805000,0.650000,0.710000,0.630000,0.645000,Happiness
276,norhan lowincome urban adapting changing,0.2,0.2,0.2,0.2,0.2,Neutral
277,firstyear encouraged replenish,0.2,0.2,0.2,0.2,0.2,Neutral
278,accepting apply make healthier,0.2,0.2,0.2,0.2,0.2,Neutral
279,important,0.2,0.2,0.2,0.2,0.2,Neutral
280,drlihueitsai shown increasing,0.2,0.2,0.2,0.2,0.2,Neutral
281,make rna powerful,0.835000,0.400000,0.562500,0.320000,0.327500,Happiness
282,new helps smart cooperate find noisy gps usua,0.347500,0.742500,0.352500,0.347500,0.362500,Anger
283,helping lowerincome reap solar,0.2,0.2,0.2,0.2,0.2,Neutral
284,lysosome basically waste recyclin,0.590000,1.380000,0.900000,1.185000,1.575000,Disgust
285,introducing hive newest pollinatorscreated collaborative,0.2,0.2,0.2,0.2,0.2,Neutral
286,speaks,0.2,0.2,0.2,0.2,0.2,Neutral
287,support democratic writes agadjanian,0.2,0.2,0.2,0.2,0.2,Neutral
288,designed lowcost photovoltaicpowered rfid tags sunlight,1.000000,0.277500,0.272500,0.280000,0.270000,Happiness
289,activitytracking show strong,0.880000,0.395000,0.412500,0.302500,0.292500,Happiness
290,phd explores impact scooped competing,0.2,0.2,0.2,0.2,0.2,Neutral
291,making impact textile tserai portable transcultural art,0.857500,0.435000,0.392500,0.470000,0.410000,Happiness
292,still plenty register were parterning make easier,0.2,0.2,0.2,0.2,0.2,Neutral
293,named known physical,0.158750,0.093125,0.082500,0.086875,0.078750,Happiness
294,first invites,0.2,0.2,0.2,0.2,0.2,Neutral
295,drennan experience growing shaped,0.2,0.2,0.2,0.2,0.2,Neutral
296,ultimate know annual returning,0.2,0.2,0.2,0.2,0.2,Neutral
297,designed d printed morph flat predetermine,0.2,0.2,0.2,0.2,0.2,Neutral
298,bridging solar rural ke,0.2,0.2,0.2,0.2,0.2,Neutral
299,new amp commonly distributed lowresource mit,0.2,0.2,0.2,0.2,0.2,Neutral
300,mit first firstyear led ranked,0.2,0.2,0.2,0.2,0.2,Neutral
301,new lipid ki anderson adaptable,0.2,0.2,0.2,0.2,0.2,Neutral
302,mitswe celebrated th anniversary swe,0.2,0.2,0.2,0.2,0.2,Neutral
303,founded aimed helping student,0.2,0.2,0.2,0.2,0.2,Neutral
304,leverage citizen protecting,0.2,0.2,0.2,0.2,0.2,Neutral
305,contain transmit neuron neuron new rapidly,0.2,0.2,0.2,0.2,0.2,Neutral
306,allows convey stochastic clearly,0.2,0.2,0.2,0.2,0.2,Neutral
307,going working human,0.2,0.2,0.2,0.2,0.2,Neutral
308,new used make quantum robust unwanted environmental,0.2,0.2,0.2,0.2,0.2,Neutral
309,greater annual celebrates connecting,0.2,0.2,0.2,0.2,0.2,Neutral
310,developing learning aimed creating standard,0.006895,0.003320,0.003242,0.002969,0.002168,Happiness
311,flora lee eighteenmonthold puppy love coming explore mit,2.210000,0.600000,0.650000,0.640000,0.585000,Happiness
312,uses ecg signal potential cardiovascular,0.2,0.2,0.2,0.2,0.2,Neutral
313,mit broad created rapid captures synaptic high,0.2,0.2,0.2,0.2,0.2,Neutral
314,are dj interested public enemys,1.590000,0.710000,0.745000,0.695000,0.650000,Happiness
315,identified suppresses distracting hope,2.035000,0.550000,0.660000,0.675000,0.550000,Happiness
316,welcomed reduce impact reusable,0.2,0.2,0.2,0.2,0.2,Neutral
317,makes solar accessible unable invest,1.440000,0.660000,1.005000,0.650000,0.600000,Happiness
318,develop blackest black made nanotubes new coating da,0.685000,1.370000,1.460000,1.520000,1.040000,Sadness
319,ultraprocessed seem distort gutand,0.2,0.2,0.2,0.2,0.2,Neutral
320,rethinking new recent aim ease,0.2,0.2,0.2,0.2,0.2,Neutral
321,found detect musical really natural,1.875000,0.752500,0.700000,0.800000,0.640000,Happiness
322,working examines informing automation,0.2,0.2,0.2,0.2,0.2,Neutral
323,stein researching,0.2,0.2,0.2,0.2,0.2,Neutral
324,newest,0.2,0.2,0.2,0.2,0.2,Neutral
325,seasoned corporate appointed,0.2,0.2,0.2,0.2,0.2,Neutral
326,online mitxonedx mary ensure,0.2,0.2,0.2,0.2,0.2,Neutral
327,new svetlana boriskina range emerging polyethylene,0.2,0.2,0.2,0.2,0.2,Neutral
328,alum former mary uses analytic interpersonal learned,0.003447,0.001660,0.001621,0.001484,0.001084,Happiness
329,christian participated international camp,0.2,0.2,0.2,0.2,0.2,Neutral
330,new past civil environmental,0.2,0.2,0.2,0.2,0.2,Neutral
331,faculty humanistic help shape mit,0.2,0.2,0.2,0.2,0.2,Neutral
332,did know ma libraries,0.2,0.2,0.2,0.2,0.2,Neutral
333,first ever student came saturday morni,0.2,0.2,0.2,0.2,0.2,Neutral
334,computeraided learning neural help mit planetary sift,0.001724,0.000830,0.000811,0.000742,0.000542,Happiness
335,friesen awarded,0.2,0.2,0.2,0.2,0.2,Neutral
336,understanding wrestle global political,0.2,0.2,0.2,0.2,0.2,Neutral
337,initially unsure changing major junior took,0.2,0.2,0.2,0.2,0.2,Neutral
338,happy first fall autumnal,0.782083,0.275833,0.284479,0.351354,0.250208,Happiness
339,uses virtual reengage,0.2,0.2,0.2,0.2,0.2,Neutral
340,using standard dmse produce functioning already embedded,0.2,0.2,0.2,0.2,0.2,Neutral
341,wrap thank attended fair,0.2,0.2,0.2,0.2,0.2,Neutral
342,e young nuclear became first tenured black mit,0.287500,0.395313,0.423438,0.435000,0.301250,Sadness
343,recommended happening globally many joining,0.2,0.2,0.2,0.2,0.2,Neutral
344,newman discusses developing noting inspire,0.481250,0.143750,0.142500,0.148750,0.138750,Happiness
345,elected,0.2,0.2,0.2,0.2,0.2,Neutral
346,phd rural kenya solar,0.2,0.2,0.2,0.2,0.2,Neutral
347,new light task extracting,0.2,0.2,0.2,0.2,0.2,Neutral
